,name,occurances,color,ppg
221,Caravienne Malt,524,21.72328244274809,33.9295184625351
222,Abbey Malt  (BE),518,17.22972972972973,32.93159144893111
223,Carafa Special III,517,524.4661508704062,29.843229317855
224,"Rice, Flaked",517,1.0,31.933664435327145
225,Peated Malt (UK),517,2.02321083172147,37.911575385291364
226,Crystal 45,512,44.9140625,33.92756938633665
227,Crystal 15L (UK),507,15.278106508875739,33.92951846253509
228,Caraaroma,506,131.42885375494072,34.90575141062593
229,Caramunich Malt 40,498,40.0,32.931591448931115
230,Clover Honey,496,4.975806451612903,33.99390085050955
231,Crystal 15L,494,15.016194331983806,33.935578748042815
232,CaraBelge (DE),490,13.040816326530612,32.93159144893111
233,Caramel Pils (BE),483,2.093167701863354,34.92537937466162
234,Oat Malt,470,3.523404255319149,33.35836449091921
235,Coffee Malt,463,150.16233766233765,23.088108357939007
236,Belgian Carapils,462,13.0,33.9295184625351
237,Caramel Pils,459,7.982570806100218,29.918243211774026
238,CBW Golden Light,456,4.019736842105263,33.92295315323507
239,Crystal 15,454,15.0,10.086975915041043
240,Biscuit® MD™,451,22.964523281596453,33.933943859491215
241,"Wheat Malt, German",450,2.0,38.883671681182356
242,TF Marris Otter,441,4.98639455782313,33.93630708167525
243,CaraFoam,434,1.0529953917050692,33.93871594653145
244,Caramalt (),432,15.122685185185185,33.92951846253509
245,2 Row Pale Malt,431,3.0,33.94804146974817
246,English Pale,430,3.0069767441860464,37.91426423546071
247,Quaker Quick Oats,419,1.9976133651551313,32.93159144893111
248,Chocolate Malt (),414,508.0,33.9295184625351
249,ESB Malt (CA),410,3.0073170731707317,35.9278064580689
250,Red Wheat 2 - 2.4L,408,2.0,33.9295184625351
251,Crystal 150L,405,149.96296296296296,32.929127431613566
252,Special B® MD™,404,125.06188118811882,32.850077608710976
253,Northern Brewer Wheat Malt Syrup,399,3.0,35.92537248974303
254,Abbey Malt,396,17.11111111111111,33.92951846253509
255,Lager (UK),395,1.030379746835443,37.92122651695098
256,Brown Rice Syrup 45HM,394,2.0,35.92537248974304
257,Black Barley (Stout),391,502.48081841432224,24.8205631900221
258,Spelt Malt (DE),391,2.0127877237851663,36.79823959627131
259,Malteurop 2 row pale malt,391,2.0,33.9295184625351
260,CARAMUNICH® I,390,34.0,34.927445476139056
261,Toasted Malt,388,27.188144329896907,32.93159144893111
